Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,24,51,100,52,5,1
2,21,52,74,78,6,1
3,22,79,72,65,1,1
4,24,87,82,55,4,1
5,20,99,89,81,4,1
6,22,35,89,64,1,1
7,22,92,85,89,3,1
8,24,60,94,75,1,1
9,19,54,42,79,6,1
10,20,44,43,64,7,1
11,24,93,36,79,2,1
12,20,75,93,79,6,1
13,20,39,53,79,7,1
14,22,99,62,89,4,1
15,21,51,48,93,2,1
16,20,56,58,39,5,1
17,23,75,78,66,4,1
18,22,45,90,40,8,1
19,19,90,85,60,3,1
20,21,85,66,71,1,1
21,23,55,84,47,5,1
22,23,60,75,59,8,1
23,19,53,100,47,6,1
24,21,94,59,54,2,1
25,22,81,95,94,5,1
26,18,60,100,55,8,1
27,21,74,76,95,8,1
28,19,39,99,60,8,1
29,23,55,70,88,3,1
30,22,38,43,76,1,1
31,21,57,70,45,5,1
32,18,49,72,71,6,1
33,18,42,67,45,2,1
34,20,75,76,61,5,1
35,20,53,95,68,1,1
36,24,80,80,72,6,1
37,19,62,95,95,5,1
38,21,49,52,87,2,1
39,21,71,49,99,1,1
40,24,35,82,37,3,1
41,23,58,47,62,3,1
42,23,61,77,48,4,1
43,24,74,94,86,5,1
44,23,97,91,64,2,1
45,20,95,51,92,5,1
46,21,70,84,88,1,1
47,24,58,66,49,4,1
48,21,58,56,72,2,1
49,18,38,89,48,5,1
50,20,68,91,91,2,1
51,22,91,47,93,1,1
52,20,83,81,42,4,1
53,24,87,96,53,2,1
54,22,57,88,66,1,1
55,18,87,63,63,3,1
56,24,96,56,75,2,1
57,19,75,99,79,4,1
58,21,91,63,47,7,1
59,18,94,82,61,6,1
60,21,88,39,53,6,1
61,23,91,69,60,2,1
62,19,44,80,87,2,1
63,19,74,69,85,1,1
64,18,41,79,71,5,1
65,19,72,47,43,6,1
66,22,95,44,86,8,1
67,19,37,100,88,5,1
68,21,85,59,37,6,1
69,21,81,78,42,2,1
70,24,72,94,48,8,1
71,21,70,81,37,4,1
72,24,75,74,58,4,1
73,21,47,41,47,7,0
74,22,92,80,77,6,1
75,24,84,57,63,8,1
76,20,64,80,85,6,1
77,23,96,47,76,1,1
78,18,59,55,65,2,1
79,21,61,35,97,2,1
80,19,85,53,60,7,1
81,21,91,94,52,5,1
82,19,81,67,91,1,1
83,23,73,38,41,3,1
84,23,50,37,82,4,1
85,23,56,86,94,4,1
86,19,88,62,67,2,1
87,21,55,89,37,7,1
88,23,50,91,38,8,1
89,22,93,50,38,1,1
90,24,65,58,76,3,1
91,19,76,75,43,4,1
92,19,66,81,85,1,1
93,21,93,65,51,3,1
94,19,68,64,51,6,1
95,19,43,52,54,2,0
96,23,45,78,48,5,1
97,21,44,61,56,4,1
98,23,51,60,86,4,1
99,24,82,94,61,3,1
100,24,86,52,77,5,1
101,23,59,90,37,8,1
102,24,55,65,42,6,1
103,21,99,93,44,1,1
104,18,97,36,63,2,1
105,23,85,73,74,1,1
106,22,70,95,99,3,1
107,22,100,97,55,8,1
108,19,49,52,58,8,1
109,24,73,51,94,4,1
110,22,35,73,60,6,1
111,19,57,88,43,4,1
112,18,73,69,54,1,1
113,21,91,45,90,6,1
114,21,68,95,70,7,1
115,21,75,78,70,2,1
116,22,47,59,56,3,1
117,18,40,82,35,2,1
